Dimensión, Sin Moldura, Marfil, Pino, Flormorado
1.5x1.5,0,24.13793103,36.20689655,24.13793103
1.5x2,0,25.86206897,38.79310345,25.86206897
1.5x3,0,37.93103448,56.89655172,37.93103448
1.5x4,0,44.82758621,67.24137931,44.82758621
1.5x5,0,51.72413793,77.5862069,51.72413793
1.5x6,0,37.93103448,56.89655172,37.93103448
1.5x7,0,44.82758621,67.24137931,44.82758621
2x2,0,31.03448276,46.55172414,31.03448276
2x3,0,41.37931034,62.06896552,41.37931034
2x4,0,48.27586207,72.4137931,48.27586207
2x5,0,55.17241379,82.75862069,55.17241379
2x6,0,62.06896552,93.10344828,62.06896552
2x7,0,75.86206897,113.7931034,75.86206897
2x8,0,86.20689655,129.3103448,86.20689655
2x9,0,103.4482759,155.1724138,103.4482759
2x10,0,86.20689655,129.3103448,86.20689655
3x3,0,62.06896552,93.10344828,62.06896552
3x4,0,68.96551724,103.4482759,68.96551724
3x5,0,75.86206897,113.7931034,75.86206897
3x6,0,89.65517241,134.4827586,89.65517241
3x7,0,103.4482759,155.1724138,103.4482759
3x8,0,117.2413793,175.862069,117.2413793
3x9,0,131.0344828,196.5517241,131.0344828
3x10,0,144.8275862,217.2413793,144.8275862
4x4,0,86.20689655,129.3103448,86.20689655
4x5,0,96.55172414,144.8275862,96.55172414
4x6,0,113.7931034,170.6896552,113.7931034
4x7,0,137.9310345,206.8965517,137.9310345
4x8,0,151.7241379,227.5862069,151.7241379
4x9,0,165.5172414,248.2758621,165.5172414
4x10,0,179.3103448,268.9655172,179.3103448
5x5,0,137.9310345,206.8965517,137.9310345
5x6,0,155.1724138,232.7586207,155.1724138
5x7,0,172.4137931,258.6206897,172.4137931
5x8,0,206.8965517,310.3448276,206.8965517
5x9,0,241.3793103,362.0689655,241.3793103
5x10,0,275.862069,413.7931034,275.862069
